"date","segment","units","net_sales_eur"
2023-05-25,"Chassis NVH",12860,310403.8
2023-05-25,"Hoses & Bellows",16275,243622.88
2023-05-25,"Other Automotive",12196,110477.39
2023-05-25,"Powertrain Mounts",5541,322627.1
2023-05-25,"Sealing",89227,280271.36
2023-05-26,"Cable Protection",23547,155177.52
2023-05-26,"Chassis NVH",11551,278690.24
2023-05-26,"Hoses & Bellows",15604,227640.54
2023-05-26,"Other Automotive",10636,94187.84
2023-05-26,"Powertrain Mounts",4871,279867.74
2023-05-26,"Sealing",82547,262651.45
2023-05-27,"Cable Protection",1951,12513.24
2023-05-27,"Chassis NVH",2554,62010.65
2023-05-27,"Hoses & Bellows",3622,54078.06
2023-05-27,"Other Automotive",1695,15354.65
2023-05-27,"Powertrain Mounts",1068,63031.7
2023-05-27,"Sealing",10634,34069.58
2023-05-28,"Cable Protection",2270,14370.75
2023-05-28,"Chassis NVH",2672,62957.89
2023-05-28,"Hoses & Bellows",3977,61068.85
2023-05-28,"Other Automotive",1722,15305.49
2023-05-28,"Powertrain Mounts",1076,62377.43
2023-05-28,"Sealing",10928,34334.35
2023-05-29,"Cable Protection",23708,152227.59
2023-05-29,"Chassis NVH",11854,277699.33
2023-05-29,"Hoses & Bellows",16533,246026.64
2023-05-29,"Other Automotive",11779,106659.89
2023-05-29,"Powertrain Mounts",5088,289711.89
2023-05-29,"Sealing",88454,280765.92
2023-05-30,"Cable Protection",22267,138018.1
2023-05-30,"Chassis NVH",11380,272397.57
2023-05-30,"Hoses & Bellows",16310,247327.55
2023-05-30,"Other Automotive",11162,100481.29
2023-05-30,"Powertrain Mounts",4851,278666.45
2023-05-30,"Sealing",81045,263607.41
2023-05-31,"Cable Protection",25748,171567.06
2023-05-31,"Chassis NVH",12541,299464.86
2023-05-31,"Hoses & Bellows",17700,262993.92
2023-05-31,"Other Automotive",13035,119074.72
2023-05-31,"Powertrain Mounts",5263,314956.92
2023-05-31,"Sealing",88785,275390.55
2023-06-01,"Cable Protection",25217,160800.03
2023-06-01,"Chassis NVH",12535,300924.52
2023-06-01,"Hoses & Bellows",17106,246448.48
2023-06-01,"Other Automotive",12955,113857.07
2023-06-01,"Powertrain Mounts",5640,329221.6
2023-06-01,"Sealing",93172,298964.71
2023-06-02,"Cable Protection",22647,147562.55
2023-06-02,"Chassis NVH",11491,274317.96
2023-06-02,"Hoses & Bellows",14306,212834.72
2023-06-02,"Other Automotive",11879,107461.95
2023-06-02,"Powertrain Mounts",4925,295146.53
2023-06-02,"Sealing",84069,273341.24
2023-06-03,"Cable Protection",4084,26451.75
2023-06-03,"Chassis NVH",3508,84298.04
2023-06-03,"Hoses & Bellows",4383,65996.33
2023-06-03,"Other Automotive",2972,26332.12
2023-06-03,"Powertrain Mounts",1367,77866.13
2023-06-03,"Sealing",19129,60713.16
2023-06-04,"Cable Protection",2047,13632.85
2023-06-04,"Chassis NVH",2748,65090.46
2023-06-04,"Hoses & Bellows",3855,59776.6
2023-06-04,"Other Automotive",2034,18135.51
2023-06-04,"Powertrain Mounts",1096,62180.08
2023-06-04,"Sealing",11606,36829.69
2023-06-05,"Cable Protection",23405,147906.46
2023-06-05,"Chassis NVH",11544,277796.63
2023-06-05,"Hoses & Bellows",15600,239200.08
2023-06-05,"Other Automotive",12938,113389.87
2023-06-05,"Powertrain Mounts",5146,302531.68
2023-06-05,"Sealing",89894,292041.31
2023-06-06,"Cable Protection",24481,164000.88
2023-06-06,"Chassis NVH",12402,296508.71
2023-06-06,"Hoses & Bellows",15870,243367.9
2023-06-06,"Other Automotive",13265,120755.53
2023-06-06,"Powertrain Mounts",5514,327208.12
2023-06-06,"Sealing",95543,300041.8
2023-06-07,"Cable Protection",23303,151207.67
2023-06-07,"Chassis NVH",12784,299956.18
2023-06-07,"Hoses & Bellows",15555,228576.35
2023-06-07,"Other Automotive",13894,125986.02
2023-06-07,"Powertrain Mounts",5609,326329.65
2023-06-07,"Sealing",92182,298493.08
2023-06-08,"Cable Protection",23852,161594.04
2023-06-08,"Chassis NVH",12793,309612.24
2023-06-08,"Hoses & Bellows",15217,228250.72
2023-06-08,"Other Automotive",13520,122812.61
2023-06-08,"Powertrain Mounts",5305,308794.23
2023-06-08,"Sealing",84356,273357.04
2023-06-09,"Cable Protection",21574,144984.84
2023-06-09,"Chassis NVH",11433,277617.26
2023-06-09,"Hoses & Bellows",13550,199836.92
2023-06-09,"Other Automotive",11782,103892.96
2023-06-09,"Powertrain Mounts",4656,275174.31
2023-06-09,"Sealing",83213,267083.87
2023-06-10,"Cable Protection",4287,27411.38
2023-06-10,"Chassis NVH",3690,88001.6
2023-06-10,"Hoses & Bellows",4401,66570.63
2023-06-10,"Other Automotive",2810,25251.31
2023-06-10,"Powertrain Mounts",1278,76132.47
2023-06-10,"Sealing",18234,58767.68
2023-06-11,"Cable Protection",2237,15275.43
2023-06-11,"Chassis NVH",2660,63588.33
2023-06-11,"Hoses & Bellows",3480,52094.34
2023-06-11,"Other Automotive",1912,17174.82
2023-06-11,"Powertrain Mounts",968,56073.64
2023-06-11,"Sealing",10651,35028.5
2023-06-12,"Cable Protection",24139,157962.24
2023-06-12,"Chassis NVH",11303,267389.2
2023-06-12,"Hoses & Bellows",15595,233009.53
2023-06-12,"Other Automotive",12253,111163.2
2023-06-12,"Powertrain Mounts",4800,277359.87
2023-06-12,"Sealing",87984,290880.69
2023-06-13,"Cable Protection",24106,154216.83
2023-06-13,"Chassis NVH",12102,293559.24
2023-06-13,"Hoses & Bellows",15623,235746.44
2023-06-13,"Other Automotive",13163,118226.18
2023-06-13,"Powertrain Mounts",5072,293487.06
2023-06-13,"Sealing",97469,310462.92
2023-06-14,"Cable Protection",24610,157104.46
2023-06-14,"Chassis NVH",12998,307278.55
2023-06-14,"Hoses & Bellows",16039,239791.55
2023-06-14,"Other Automotive",13063,121146.41
2023-06-14,"Powertrain Mounts",5186,305535.88
2023-06-14,"Sealing",97246,310307.92
2023-06-15,"Cable Protection",23784,153441.78
2023-06-15,"Chassis NVH",12146,287481.86
2023-06-15,"Hoses & Bellows",16036,241634
2023-06-15,"Other Automotive",12747,114873.45
2023-06-15,"Powertrain Mounts",5519,323461.44
2023-06-15,"Sealing",104590,343399.32
2023-06-16,"Cable Protection",21612,139066.39
2023-06-16,"Chassis NVH",11296,271033.36
2023-06-16,"Hoses & Bellows",15262,225541.58
2023-06-16,"Other Automotive",12327,110328.74
2023-06-16,"Powertrain Mounts",5173,294451.97
2023-06-16,"Sealing",86964,282777.19
2023-06-17,"Cable Protection",4472,29974.45
2023-06-17,"Chassis NVH",3646,85129.03
2023-06-17,"Hoses & Bellows",5193,76934.7
2023-06-17,"Other Automotive",2859,26773.49
2023-06-17,"Powertrain Mounts",1508,88406.91
2023-06-17,"Sealing",20117,64057.52
2023-06-18,"Cable Protection",2147,14120.78
2023-06-18,"Chassis NVH",2658,66408.44
2023-06-18,"Hoses & Bellows",3543,52488.1
2023-06-18,"Other Automotive",1954,17700.28
2023-06-18,"Powertrain Mounts",1122,65024.22
2023-06-18,"Sealing",11116,35101.98
2023-06-19,"Cable Protection",23841,155274.12
2023-06-19,"Chassis NVH",12111,284771.49
2023-06-19,"Hoses & Bellows",14808,218707.59
2023-06-19,"Other Automotive",13304,121160.06
2023-06-19,"Powertrain Mounts",5954,344246.98
2023-06-19,"Sealing",86121,275764.88
2023-06-20,"Cable Protection",25359,161750.39
2023-06-20,"Chassis NVH",12465,300727.24
2023-06-20,"Hoses & Bellows",16180,243165.91
2023-06-20,"Other Automotive",13420,123957.63
2023-06-20,"Powertrain Mounts",5873,341058.06
2023-06-20,"Sealing",90016,290691.21
2023-06-21,"Cable Protection",24715,163957.5
2023-06-21,"Chassis NVH",12370,295245.38
2023-06-21,"Hoses & Bellows",16920,256807.91
2023-06-21,"Other Automotive",13598,122309.67
2023-06-21,"Powertrain Mounts",5896,339156.93
2023-06-21,"Sealing",86937,280569.3
2023-06-22,"Cable Protection",22858,145879.53
2023-06-22,"Chassis NVH",11384,265547.74
2023-06-22,"Hoses & Bellows",15845,233413.12
2023-06-22,"Other Automotive",12266,110468.1
2023-06-22,"Powertrain Mounts",5567,324196.11
2023-06-22,"Sealing",84116,264855.46
2023-06-23,"Cable Protection",21339,140019.36
2023-06-23,"Chassis NVH",10967,254811.54
2023-06-23,"Hoses & Bellows",14663,218583.6
2023-06-23,"Other Automotive",11022,98897.4
2023-06-23,"Powertrain Mounts",5184,311853.93
2023-06-23,"Sealing",79036,244701.1
2023-06-24,"Cable Protection",4009,24938.64
2023-06-24,"Chassis NVH",3416,81639.87
2023-06-24,"Hoses & Bellows",4656,71610.16
2023-06-24,"Other Automotive",2798,24948.97
2023-06-24,"Powertrain Mounts",1461,84141.11
2023-06-24,"Sealing",17696,56193.39
2023-06-25,"Cable Protection",2144,13992.35
2023-06-25,"Chassis NVH",2597,61993.27
2023-06-25,"Hoses & Bellows",3547,53407.08
2023-06-25,"Other Automotive",1841,16485.13
2023-06-25,"Powertrain Mounts",993,56498.93
2023-06-25,"Sealing",10718,34100.44
2023-06-26,"Cable Protection",22854,146716.44
2023-06-26,"Chassis NVH",11300,276617.18
2023-06-26,"Hoses & Bellows",14903,222060.01
2023-06-26,"Other Automotive",11268,101545.01
2023-06-26,"Powertrain Mounts",4862,279341.08
2023-06-26,"Sealing",84925,271586.39
2023-06-27,"Cable Protection",24090,158795.59
2023-06-27,"Chassis NVH",11278,278275.69
2023-06-27,"Hoses & Bellows",16056,235856.4
2023-06-27,"Other Automotive",12214,107693.72
2023-06-27,"Powertrain Mounts",5071,290662.96
2023-06-27,"Sealing",89917,288653.92
2023-06-28,"Cable Protection",25765,162621.08
2023-06-28,"Chassis NVH",11370,272908.35
2023-06-28,"Hoses & Bellows",16352,241858.13
2023-06-28,"Other Automotive",11945,102690.33
2023-06-28,"Powertrain Mounts",5816,343794.24
2023-06-28,"Sealing",95430,312803.84
2023-06-29,"Cable Protection",24482,157862.13
2023-06-29,"Chassis NVH",11249,282770.54
2023-06-29,"Hoses & Bellows",16397,240415.5
2023-06-29,"Other Automotive",12166,108247.53
2023-06-29,"Powertrain Mounts",5418,310194.89
2023-06-29,"Sealing",95187,295975.36
2023-06-30,"Cable Protection",23713,152264.72
2023-06-30,"Chassis NVH",10583,253120.68
2023-06-30,"Hoses & Bellows",16351,245779.89
2023-06-30,"Other Automotive",11223,101506.75
2023-06-30,"Powertrain Mounts",5232,302272.75
2023-06-30,"Sealing",88000,282931.99
2023-07-01,"Cable Protection",3944,25637.65
2023-07-01,"Chassis NVH",3331,80411.3
2023-07-01,"Hoses & Bellows",4554,70405.07
2023-07-01,"Other Automotive",2837,26121.85
2023-07-01,"Powertrain Mounts",1332,76902.83
2023-07-01,"Sealing",15561,50261.33
2023-07-02,"Cable Protection",1979,12705.25
2023-07-02,"Chassis NVH",2571,63852.58
2023-07-02,"Hoses & Bellows",3532,52757.71
2023-07-02,"Other Automotive",1858,16680.03
2023-07-02,"Powertrain Mounts",1108,64950.44
2023-07-02,"Sealing",12318,39368.29
2023-07-03,"Cable Protection",18020,118569.2
2023-07-03,"Chassis NVH",10470,253468.06
2023-07-03,"Hoses & Bellows",13652,198274.82
2023-07-03,"Other Automotive",9954,90924.58
2023-07-03,"Powertrain Mounts",4364,264027.04
2023-07-03,"Sealing",79797,254477.27
2023-07-04,"Cable Protection",20701,135865.07
2023-07-04,"Chassis NVH",10539,260228.85
2023-07-04,"Hoses & Bellows",13554,204505.36
2023-07-04,"Other Automotive",10646,95947.52
2023-07-04,"Powertrain Mounts",4694,270203.58
2023-07-04,"Sealing",78831,251370.61
2023-07-05,"Cable Protection",21345,135469.72
2023-07-05,"Chassis NVH",11171,263289.63
2023-07-05,"Hoses & Bellows",13408,203745.36
2023-07-05,"Other Automotive",10655,96340.05
2023-07-05,"Powertrain Mounts",4396,253031.07
2023-07-05,"Sealing",81426,268925.2
2023-07-06,"Cable Protection",20418,137009.63
2023-07-06,"Chassis NVH",9368,223884.38
2023-07-06,"Hoses & Bellows",13574,208834.2
2023-07-06,"Other Automotive",9506,84854.34
2023-07-06,"Powertrain Mounts",3778,219062.01
2023-07-06,"Sealing",71071,232585.42
2023-07-07,"Cable Protection",18364,121595.1
2023-07-07,"Chassis NVH",8731,213580.01
2023-07-07,"Hoses & Bellows",11978,187097
2023-07-07,"Other Automotive",9155,82224.78
2023-07-07,"Powertrain Mounts",3441,198741.68
2023-07-07,"Sealing",66222,215036.15
2023-07-08,"Cable Protection",3648,24159.91
2023-07-08,"Chassis NVH",3066,74403.97
2023-07-08,"Hoses & Bellows",4327,66623.64
2023-07-08,"Other Automotive",2631,23634.66
2023-07-08,"Powertrain Mounts",1195,69993.08
2023-07-08,"Sealing",14861,47946.8
2023-07-09,"Cable Protection",2278,15139.89
2023-07-09,"Chassis NVH",2405,57380.98
2023-07-09,"Hoses & Bellows",3497,51658.27
2023-07-09,"Other Automotive",1832,16788.14
2023-07-09,"Powertrain Mounts",895,53185.06
2023-07-09,"Sealing",9800,30783.94
2023-07-10,"Cable Protection",18522,117216.94
2023-07-10,"Chassis NVH",9126,213139.08
2023-07-10,"Hoses & Bellows",13047,192939.44
2023-07-10,"Other Automotive",9765,91569.54
2023-07-10,"Powertrain Mounts",3836,223541.3
2023-07-10,"Sealing",63074,201228.13
2023-07-11,"Cable Protection",18297,115855.23
2023-07-11,"Chassis NVH",10280,242491.51
2023-07-11,"Hoses & Bellows",13325,197399.91
2023-07-11,"Other Automotive",10114,92817.77
2023-07-11,"Powertrain Mounts",4318,250989.94
2023-07-11,"Sealing",63840,203633
2023-07-12,"Cable Protection",19043,124688.43
2023-07-12,"Chassis NVH",9858,230909.92
2023-07-12,"Hoses & Bellows",13916,205945.67
2023-07-12,"Other Automotive",10355,94932.14
2023-07-12,"Powertrain Mounts",4259,244593.6
2023-07-12,"Sealing",65593,207169.39
2023-07-13,"Cable Protection",18972,117612.64
2023-07-13,"Chassis NVH",9625,228069.84
2023-07-13,"Hoses & Bellows",12484,185822.32
2023-07-13,"Other Automotive",9720,88997.93
2023-07-13,"Powertrain Mounts",4325,253795.71
2023-07-13,"Sealing",63147,205846.82
2023-07-14,"Cable Protection",16314,102237.82
2023-07-14,"Chassis NVH",8418,197522.46
2023-07-14,"Hoses & Bellows",11927,182974.24
2023-07-14,"Other Automotive",8559,78922.03
2023-07-14,"Powertrain Mounts",3654,211092.5
2023-07-14,"Sealing",59299,191125.83
2023-07-15,"Cable Protection",3692,23816.97
2023-07-15,"Chassis NVH",3066,72236.18
2023-07-15,"Hoses & Bellows",4528,69581.03
2023-07-15,"Other Automotive",2501,23145.65
2023-07-15,"Powertrain Mounts",1326,77156.02
2023-07-15,"Sealing",14948,49370.3
2023-07-16,"Cable Protection",2187,14232.17
2023-07-16,"Chassis NVH",2530,60521.59
2023-07-16,"Hoses & Bellows",3799,55713.42
2023-07-16,"Other Automotive",1659,15253.42
2023-07-16,"Powertrain Mounts",1041,62271.82
2023-07-16,"Sealing",10353,33969.09
2023-07-17,"Cable Protection",17819,115867.6
2023-07-17,"Chassis NVH",8817,220197.1
2023-07-17,"Hoses & Bellows",12885,196154.5
2023-07-17,"Other Automotive",8483,74626.3
2023-07-17,"Powertrain Mounts",3740,222003.39
2023-07-17,"Sealing",61608,199732.22
2023-07-18,"Cable Protection",17656,115327.8
2023-07-18,"Chassis NVH",9493,232255.85
2023-07-18,"Hoses & Bellows",12796,202318
2023-07-18,"Other Automotive",9380,84554.6
2023-07-18,"Powertrain Mounts",4153,234762.9
2023-07-18,"Sealing",67584,217314.02
2023-07-19,"Cable Protection",17244,108694.61
2023-07-19,"Chassis NVH",9396,227162.39
2023-07-19,"Hoses & Bellows",12480,183914.7
2023-07-19,"Other Automotive",8904,80238.79
2023-07-19,"Powertrain Mounts",4051,232834.98
2023-07-19,"Sealing",67341,214821.85
2023-07-20,"Cable Protection",12192,79513.09
2023-07-20,"Chassis NVH",6239,145596.97
2023-07-20,"Hoses & Bellows",9310,138742.04
2023-07-20,"Other Automotive",6159,54750.05
2023-07-20,"Powertrain Mounts",2903,165408.02
2023-07-20,"Sealing",42535,136211.58
2023-07-21,"Cable Protection",11111,72935.96
2023-07-21,"Chassis NVH",5764,140166.09
2023-07-21,"Hoses & Bellows",8446,121770.76
2023-07-21,"Other Automotive",5721,51712.45
2023-07-21,"Powertrain Mounts",2713,155098.61
2023-07-21,"Sealing",38113,122565.72
2023-07-22,"Cable Protection",2618,17077.04
2023-07-22,"Chassis NVH",2612,62538.81
2023-07-22,"Hoses & Bellows",3908,59308.41
2023-07-22,"Other Automotive",2188,19972.57
2023-07-22,"Powertrain Mounts",1058,61460.62
2023-07-22,"Sealing",11740,38504.08
2023-07-23,"Cable Protection",1852,11888.63
2023-07-23,"Chassis NVH",2265,54465.9
2023-07-23,"Hoses & Bellows",3238,48084.04
2023-07-23,"Other Automotive",1857,17285.33
2023-07-23,"Powertrain Mounts",907,53659.56
2023-07-23,"Sealing",9533,30117.79
2023-07-24,"Cable Protection",11104,69541.84
2023-07-24,"Chassis NVH",6376,152086.56
2023-07-24,"Hoses & Bellows",8109,123980.52
2023-07-24,"Other Automotive",6131,56231.95
2023-07-24,"Powertrain Mounts",2646,154284.48
2023-07-24,"Sealing",41984,134426.39
2023-07-25,"Cable Protection",11770,76053.59
2023-07-25,"Chassis NVH",6269,149107.7
2023-07-25,"Hoses & Bellows",9157,140263.71
2023-07-25,"Other Automotive",6015,54091.2
2023-07-25,"Powertrain Mounts",2760,167793.09
2023-07-25,"Sealing",43657,138264.42
2023-07-26,"Cable Protection",11164,70415.79
2023-07-26,"Chassis NVH",6400,154320.5
2023-07-26,"Hoses & Bellows",9288,143456.97
2023-07-26,"Other Automotive",6128,56293.38
2023-07-26,"Powertrain Mounts",2771,162790.87
2023-07-26,"Sealing",44155,141129.89
2023-07-27,"Cable Protection",11009,73062.59
2023-07-27,"Chassis NVH",6435,157787.92
2023-07-27,"Hoses & Bellows",8503,129517.95
2023-07-27,"Other Automotive",6319,59064.91
2023-07-27,"Powertrain Mounts",2900,165361.38
2023-07-27,"Sealing",45953,148616.93
2023-07-28,"Cable Protection",10467,66608.63
2023-07-28,"Chassis NVH",5624,138099.27
2023-07-28,"Hoses & Bellows",8617,129043.31
2023-07-28,"Other Automotive",5810,52749.92
2023-07-28,"Powertrain Mounts",2554,148730.74
2023-07-28,"Sealing",37815,121871.5
2023-07-29,"Cable Protection",2672,17083.96
2023-07-29,"Chassis NVH",2551,62567.38
2023-07-29,"Hoses & Bellows",3824,56552.9
2023-07-29,"Other Automotive",2033,18353.67
2023-07-29,"Powertrain Mounts",1054,60209.57
2023-07-29,"Sealing",12037,38880.67
2023-07-30,"Cable Protection",1843,12112.4
2023-07-30,"Chassis NVH",2150,52034.1
2023-07-30,"Hoses & Bellows",3411,51144.21
2023-07-30,"Other Automotive",1696,15801.81
2023-07-30,"Powertrain Mounts",925,51747.84
2023-07-30,"Sealing",9634,30590.38
2023-07-31,"Cable Protection",11418,73768.63
2023-07-31,"Chassis NVH",5506,132054.2
2023-07-31,"Hoses & Bellows",8595,131435.56
2023-07-31,"Other Automotive",5851,51811.65
2023-07-31,"Powertrain Mounts",2853,165179.73
2023-07-31,"Sealing",44712,143378.39
2023-08-01,"Cable Protection",10630,69270.99
2023-08-01,"Chassis NVH",5874,141270.63
2023-08-01,"Hoses & Bellows",8813,133656.47
2023-08-01,"Other Automotive",5588,50005.59
2023-08-01,"Powertrain Mounts",2402,148190.04
2023-08-01,"Sealing",40257,129826.16
2023-08-02,"Cable Protection",11571,75322.54
2023-08-02,"Chassis NVH",6462,154479.54
2023-08-02,"Hoses & Bellows",8861,132896.04
2023-08-02,"Other Automotive",6106,57153.11
2023-08-02,"Powertrain Mounts",2573,150469.15
2023-08-02,"Sealing",40972,131726.1
2023-08-03,"Cable Protection",9658,62922.68
2023-08-03,"Chassis NVH",5992,143918.72
2023-08-03,"Hoses & Bellows",8650,131785.54
2023-08-03,"Other Automotive",5621,50713.37
2023-08-03,"Powertrain Mounts",2481,140942.58
2023-08-03,"Sealing",39343,128551.38
2023-08-04,"Cable Protection",9159,59627.45
2023-08-04,"Chassis NVH",5670,136982.42
2023-08-04,"Hoses & Bellows",8332,121016.11
2023-08-04,"Other Automotive",5434,47147.83
2023-08-04,"Powertrain Mounts",2212,128985.51
2023-08-04,"Sealing",36578,114137.76
2023-08-05,"Cable Protection",2524,16222.35
2023-08-05,"Chassis NVH",2679,64411.47
2023-08-05,"Hoses & Bellows",3942,57707.41
2023-08-05,"Other Automotive",2132,19170.43
2023-08-05,"Powertrain Mounts",1022,59505.42
2023-08-05,"Sealing",11598,37365.3
2023-08-06,"Cable Protection",1694,10908.29
2023-08-06,"Chassis NVH",2365,56271.98
2023-08-06,"Hoses & Bellows",3080,45836.05
2023-08-06,"Other Automotive",1694,15221.03
2023-08-06,"Powertrain Mounts",808,47468.13
2023-08-06,"Sealing",8917,28308.38
2023-08-07,"Cable Protection",9956,63822.19
2023-08-07,"Chassis NVH",6333,150041.61
2023-08-07,"Hoses & Bellows",7989,119110.38
2023-08-07,"Other Automotive",5818,52510.45
2023-08-07,"Powertrain Mounts",2293,133302.22
2023-08-07,"Sealing",39268,126818.19
2023-08-08,"Cable Protection",10197,66197.82
2023-08-08,"Chassis NVH",6666,161681.66
2023-08-08,"Hoses & Bellows",8316,123417.42
2023-08-08,"Other Automotive",5946,53972.86
2023-08-08,"Powertrain Mounts",2409,146531.44
2023-08-08,"Sealing",42898,137404.72
2023-08-09,"Cable Protection",10021,63175.9
2023-08-09,"Chassis NVH",6593,158839.34
2023-08-09,"Hoses & Bellows",7818,115867.99
2023-08-09,"Other Automotive",6285,54990.84
2023-08-09,"Powertrain Mounts",2399,139549.86
2023-08-09,"Sealing",42780,135763.39
2023-08-10,"Cable Protection",11001,74478.3
2023-08-10,"Chassis NVH",6073,144612.89
2023-08-10,"Hoses & Bellows",8347,124582.46
2023-08-10,"Other Automotive",5821,52875.92
2023-08-10,"Powertrain Mounts",2504,140254.96
2023-08-10,"Sealing",37919,116447.62
2023-08-11,"Cable Protection",9682,62778.89
2023-08-11,"Chassis NVH",5674,133812.02
2023-08-11,"Hoses & Bellows",7165,106476.11
2023-08-11,"Other Automotive",5409,49705.94
2023-08-11,"Powertrain Mounts",2188,126162.03
2023-08-11,"Sealing",34783,112913.45
2023-08-12,"Cable Protection",2409,15615.39
2023-08-12,"Chassis NVH",2696,65983.51
2023-08-12,"Hoses & Bellows",3317,48552.68
2023-08-12,"Other Automotive",1974,17977.7
2023-08-12,"Powertrain Mounts",1030,58098.42
2023-08-12,"Sealing",11237,36542.36
2023-08-13,"Cable Protection",1814,11635.92
2023-08-13,"Chassis NVH",2198,52558.43
2023-08-13,"Hoses & Bellows",3184,46844.88
2023-08-13,"Other Automotive",1519,13536.38
2023-08-13,"Powertrain Mounts",922,54186
2023-08-13,"Sealing",8905,27805.73
2023-08-14,"Cable Protection",10202,68240.31
2023-08-14,"Chassis NVH",6101,145514.01
2023-08-14,"Hoses & Bellows",7935,121529
2023-08-14,"Other Automotive",5340,47390.77
2023-08-14,"Powertrain Mounts",2280,131760.04
2023-08-14,"Sealing",39886,127463.75
2023-08-15,"Cable Protection",10536,67783.03
2023-08-15,"Chassis NVH",6170,150337.09
2023-08-15,"Hoses & Bellows",9157,133763.82
2023-08-15,"Other Automotive",5447,48472.41
2023-08-15,"Powertrain Mounts",2438,141530.16
2023-08-15,"Sealing",40716,134762.91
2023-08-16,"Cable Protection",16219,103187.41
2023-08-16,"Chassis NVH",8624,212253.36
2023-08-16,"Hoses & Bellows",12169,183246.33
2023-08-16,"Other Automotive",8782,78944.11
2023-08-16,"Powertrain Mounts",3438,198625.57
2023-08-16,"Sealing",64138,204281.92
2023-08-17,"Cable Protection",18552,117848.4
2023-08-17,"Chassis NVH",8942,216791.97
2023-08-17,"Hoses & Bellows",12466,191090.58
2023-08-17,"Other Automotive",9091,81586.83
2023-08-17,"Powertrain Mounts",3595,209670.21
2023-08-17,"Sealing",69536,225723.54
2023-08-18,"Cable Protection",17625,117655.28
2023-08-18,"Chassis NVH",8248,195875.28
2023-08-18,"Hoses & Bellows",11274,171979.48
2023-08-18,"Other Automotive",7963,70891.16
2023-08-18,"Powertrain Mounts",3369,193525.77
2023-08-18,"Sealing",64685,203536.75
2023-08-19,"Cable Protection",3532,22972.61
2023-08-19,"Chassis NVH",2849,67707.87
2023-08-19,"Hoses & Bellows",4207,64479.83
2023-08-19,"Other Automotive",2215,20687.55
2023-08-19,"Powertrain Mounts",1145,65422.56
2023-08-19,"Sealing",15612,50388.06
2023-08-20,"Cable Protection",2130,14210.58
2023-08-20,"Chassis NVH",2188,53044.63
2023-08-20,"Hoses & Bellows",3296,49460.33
2023-08-20,"Other Automotive",1656,14742.86
2023-08-20,"Powertrain Mounts",966,55759.21
2023-08-20,"Sealing",10090,32185.34
2023-08-21,"Cable Protection",18381,118869.93
2023-08-21,"Chassis NVH",9095,211198.74
2023-08-21,"Hoses & Bellows",12350,184261.78
2023-08-21,"Other Automotive",9242,84867.01
2023-08-21,"Powertrain Mounts",3772,220460.61
2023-08-21,"Sealing",64757,214006.98
2023-08-22,"Cable Protection",17914,112868.03
2023-08-22,"Chassis NVH",9574,231790.38
2023-08-22,"Hoses & Bellows",12143,181313.62
2023-08-22,"Other Automotive",8821,77973.66
2023-08-22,"Powertrain Mounts",3938,228157.37
2023-08-22,"Sealing",61552,194251.97
2023-08-23,"Cable Protection",18510,118223.04
2023-08-23,"Chassis NVH",9060,217137.01
2023-08-23,"Hoses & Bellows",12089,178499.38
2023-08-23,"Other Automotive",10166,90281.44
2023-08-23,"Powertrain Mounts",3865,222406.39
2023-08-23,"Sealing",62137,201875.16
2023-08-24,"Cable Protection",18526,117678.67
2023-08-24,"Chassis NVH",9587,234571.09
2023-08-24,"Hoses & Bellows",12558,187546.4
2023-08-24,"Other Automotive",9310,85901.22
2023-08-24,"Powertrain Mounts",3726,217516.16
2023-08-24,"Sealing",58789,181766.64
2023-08-25,"Cable Protection",16703,111006.64
2023-08-25,"Chassis NVH",8150,192070.45
2023-08-25,"Hoses & Bellows",11623,172262.9
2023-08-25,"Other Automotive",8666,80715.13
2023-08-25,"Powertrain Mounts",3456,193859.24
2023-08-25,"Sealing",56877,181021.5
2023-08-26,"Cable Protection",3253,20956.37
2023-08-26,"Chassis NVH",2988,70425.98
2023-08-26,"Hoses & Bellows",4212,64823.15
2023-08-26,"Other Automotive",2439,21455.42
2023-08-26,"Powertrain Mounts",1121,64626.91
2023-08-26,"Sealing",15044,47180.11
2023-08-27,"Cable Protection",1909,12744.37
2023-08-27,"Chassis NVH",2293,54985.39
2023-08-27,"Hoses & Bellows",3412,49832.45
2023-08-27,"Other Automotive",1683,14724.6
2023-08-27,"Powertrain Mounts",961,55641.46
2023-08-27,"Sealing",9499,30404.95
2023-08-28,"Cable Protection",16892,110509.38
2023-08-28,"Chassis NVH",9383,234105.94
2023-08-28,"Hoses & Bellows",12512,186553.15
2023-08-28,"Other Automotive",9050,82625.28
2023-08-28,"Powertrain Mounts",3699,215916.41
2023-08-28,"Sealing",63004,199925.59
2023-08-29,"Cable Protection",17527,112269.76
2023-08-29,"Chassis NVH",9980,242309.94
2023-08-29,"Hoses & Bellows",12745,191491.03
2023-08-29,"Other Automotive",10181,91989.48
2023-08-29,"Powertrain Mounts",3885,222365.43
2023-08-29,"Sealing",65369,201202.17
2023-08-30,"Cable Protection",18523,121384.45
2023-08-30,"Chassis NVH",9457,226396.67
2023-08-30,"Hoses & Bellows",13617,202021.55
2023-08-30,"Other Automotive",10134,94042.14
2023-08-30,"Powertrain Mounts",3995,230125.65
2023-08-30,"Sealing",64348,201447.86
